Participant,Finished,cluster,question,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9
57,True,1,Is there anything you want to share with us regarding your experiences with Open Access?,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,True,2,"In your opinion, how important are open data, materials, and/or code for your work?",Very important,NA,NA,NA,NA,NA,NA,NA,NA
57,True,2,"What is your experience with using open data, materials, and/or code developed by others?","I am aware of open data, materials, and/or code developed by others, but have not used them",NA,NA,NA,NA,NA,NA,NA,NA
57,True,2,"What is your experience with openly sharing data, materials, and/or code that you developed?","I have some experience with open data, materials, and/or code, but do not share mine regularly",NA,NA,NA,NA,NA,NA,NA,NA
57,True,2,Are you familiar with the FAIR principles for data and code?,"Until now, I hadn't heard of the FAIR principles",NA,NA,NA,NA,NA,NA,NA,NA
57,True,2,"The following are possible concerns that researchers could have about making data, materials, and/or code developed by them openly available. Which of these concerns would you agree with?",I do not share any of these concerns,NA,NA,NA,NA,NA,NA,NA,NA
57,True,3,"In your opinion, how important is preregistration for your work?",Very important,NA,NA,NA,NA,NA,NA,NA,NA
57,True,3,What is your experience with study preregistration?,"I have some experience with study preregistration, but do not use it regularly",NA,NA,NA,NA,NA,NA,NA,NA
57,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,I do not share any of these concerns,NA,NA,NA,NA,NA,NA,NA,NA
57,True,4,"In your opinion, how important are open educational resources for your work?",Not at all important,NA,NA,NA,NA,NA,NA,NA,NA
57,True,4,What is your experience with using open educational resources developed by others?,"I am aware of open educational resources developed by others, but have not used them",NA,NA,NA,NA,NA,NA,NA,NA
57,True,4,What is your experience with openly sharing educational resources that you developed?,"I am aware of open educational resources, but have not shared my own",NA,NA,NA,NA,NA,NA,NA,NA
57,True,4,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,"It might take too much time, effort, and resources",NA,NA,NA,NA,NA,NA,NA,NA
57,True,5,"In your opinion, how important is to have an open dialogue with society in your work?",Very important,NA,NA,NA,NA,NA,NA,NA,NA
57,True,5,What is your experience engaging with society?,"I have some experience with engaging with society, but do not do it regularly",NA,NA,NA,NA,NA,NA,NA,NA
57,True,5,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",NA,NA,NA,NA,NA,NA,NA,NA
57,True,6,Do you expect EUR to support you in learning open science practices?,Yes,NA,NA,NA,NA,NA,NA,NA,NA
57,True,6,Which of the following open science practices would you like EUR to provide information or support for?,Open access publishing,"Open data, materials, and/or code",Preregistration,Open educational resources,Open engagement of societal actors,NA,NA,NA,NA
57,True,6,What support services provided at EUR have you used to make your data FAIR?,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,True,7,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,NA,NA,NA,NA,NA,NA,NA,NA
57,True,7,In what way were you recognized and rewarded?,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,True,7,In what way do you expect to be recognized and rewarded?,Freedom to choose and initiate my own projects,More time for Open Science activities,Trust from my colleagues/supervisor/manager,Praise by my colleagues/supervisor/manager,Receive a promotion,Receive a salary raise,NA,NA,NA
57,True,8,Is there anything else you would like to mention about Open Science practices?,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,True,0,School,Erasmus School of Social and Behavioural Sciences (ESSB),NA,NA,NA,NA,NA,NA,NA,NA
58,True,0,Department,Other_Strategy group: Communication and behavior change,NA,NA,NA,NA,NA,NA,NA,NA
58,True,0,Position,Postdoc or researcher,NA,NA,NA,NA,NA,NA,NA,NA
58,True,1,"In your opinion, how important is Open Access for your work?",Extremely important,NA,NA,NA,NA,NA,NA,NA,NA
58,True,1,What is your experience with Open Access?,I have extensive experience with Open Access publishing,NA,NA,NA,NA,NA,NA,NA,NA
58,True,1,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,I do not share any of these concerns,NA,NA,NA,NA,NA,NA,NA,NA
58,True,1,Is there anything you want to share with us regarding your experiences with Open Access?,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,True,2,"In your opinion, how important are open data, materials, and/or code for your work?",Extremely important,NA,NA,NA,NA,NA,NA,NA,NA
58,True,2,"What is your experience with using open data, materials, and/or code developed by others?","I have some experience with open data, materials, and/or code developed by others, but do not use them regularly",NA,NA,NA,NA,NA,NA,NA,NA
58,True,2,"What is your experience with openly sharing data, materials, and/or code that you developed?","I regularly share open data, materials, and/or code",NA,NA,NA,NA,NA,NA,NA,NA
58,True,2,Are you familiar with the FAIR principles for data and code?,I regularly follow the FAIR principles,NA,NA,NA,NA,NA,NA,NA,NA
58,True,2,"The following are possible concerns that researchers could have about making data, materials, and/or code developed by them openly available. Which of these concerns would you agree with?",Others might find errors in my published work,"Others might find it difficult to understand my data, materials, and/or code","Sharing data, materials, and/or code could result in others asking me to provide assistance for their research","I might lose control over how my data, materials, and/or code are being used",NA,NA,NA,NA,NA
58,True,3,"In your opinion, how important is preregistration for your work?",Extremely important,NA,NA,NA,NA,NA,NA,NA,NA
58,True,3,What is your experience with study preregistration?,I regularly preregister my studies,NA,NA,NA,NA,NA,NA,NA,NA
58,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,Preregistration might delay data collection,Preregistration might make it more difficult to publish in certain journals,"It might take too much time, effort, and resources",Other_Reviewers dont understand it,NA,NA,NA,NA,NA
58,True,4,"In your opinion, how important are open educational resources for your work?",I don’t know/prefer not to answer,NA,NA,NA,NA,NA,NA,NA,NA
58,True,4,What is your experience with using open educational resources developed by others?,"I have some experience with open educational resources developed by others, but do not use them regularly",NA,NA,NA,NA,NA,NA,NA,NA
58,True,4,What is your experience with openly sharing educational resources that you developed?,"I am aware of open educational resources, but have not shared my own",NA,NA,NA,NA,NA,NA,NA,NA
58,True,4,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,I don’t know/prefer not to answer,NA,NA,NA,NA,NA,NA,NA,NA
58,True,5,"In your opinion, how important is to have an open dialogue with society in your work?",I don’t know/prefer not to answer,NA,NA,NA,NA,NA,NA,NA,NA
58,True,5,What is your experience engaging with society?,"Until now, I was unaware of open engagement with societal actors",NA,NA,NA,NA,NA,NA,NA,NA
58,True,5,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I don’t know/prefer not to answer,NA,NA,NA,NA,NA,NA,NA,NA
58,True,6,Do you expect EUR to support you in learning open science practices?,Yes,NA,NA,NA,NA,NA,NA,NA,NA
58,True,6,Which of the following open science practices would you like EUR to provide information or support for?,Open access publishing,"Open data, materials, and/or code",Preregistration,NA,NA,NA,NA,NA,NA
58,True,6,What support services provided at EUR have you used to make your data FAIR?,I attended a workshop on research data management,I looked up relevant information on the EUR website,"I got advice on FAIR data/research data management from an expert (e.g., research data steward)",NA,NA,NA,NA,NA,NA
58,True,7,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,NA,NA,NA,NA,NA,NA,NA,NA
58,True,7,In what way were you recognized and rewarded?,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,True,7,In what way do you expect to be recognized and rewarded?,More time for Open Science activities,"Other_well it is not explicitly mentioned in my R&O, doesn't mean that i think it should be more recognized and rewarded, i think it is just part of our job (we dont talk about a lot of things that is part of our job))",NA,NA,NA,NA,NA,NA,NA
58,True,8,Is there anything else you would like to mention about Open Science practices?,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,True,0,School,Erasmus School of Social and Behavioural Sciences (ESSB),NA,NA,NA,NA,NA,NA,NA,NA
59,True,0,Department,Sociology,NA,NA,NA,NA,NA,NA,NA,NA
59,True,0,Position,Full Professor,NA,NA,NA,NA,NA,NA,NA,NA
59,True,1,"In your opinion, how important is Open Access for your work?",Extremely important,NA,NA,NA,NA,NA,NA,NA,NA
59,True,1,What is your experience with Open Access?,I have extensive experience with Open Access publishing,NA,NA,NA,NA,NA,NA,NA,NA
59,True,1,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Gold OA: Open Access journals might have lower quality articles,NA,NA,NA,NA,NA,NA,NA,NA
59,True,1,Is there anything you want to share with us regarding your experiences with Open Access?,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,True,2,"In your opinion, how important are open data, materials, and/or code for your work?",Extremely important,NA,NA,NA,NA,NA,NA,NA,NA
59,True,2,"What is your experience with using open data, materials, and/or code developed by others?","I regularly use open data, materials, and/or code developed by others",NA,NA,NA,NA,NA,NA,NA,NA
59,True,2,"What is your experience with openly sharing data, materials, and/or code that you developed?","I regularly share open data, materials, and/or code",NA,NA,NA,NA,NA,NA,NA,NA
59,True,2,Are you familiar with the FAIR principles for data and code?,I regularly follow the FAIR principles,NA,NA,NA,NA,NA,NA,NA,NA
59,True,2,"The following are possible concerns that researchers could have about making data, materials, and/or code developed by them openly available. Which of these concerns would you agree with?",I do not share any of these concerns,NA,NA,NA,NA,NA,NA,NA,NA
59,True,3,"In your opinion, how important is preregistration for your work?",Moderately important,NA,NA,NA,NA,NA,NA,NA,NA
59,True,3,What is your experience with study preregistration?,"I am aware of study preregistration, but have not used it",NA,NA,NA,NA,NA,NA,NA,NA
59,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,I do not share any of these concerns,NA,NA,NA,NA,NA,NA,NA,NA
59,True,4,"In your opinion, how important are open educational resources for your work?",Slightly important,NA,NA,NA,NA,NA,NA,NA,NA
59,True,4,What is your experience with using open educational resources developed by others?,"I am aware of open educational resources developed by others, but have not used them",NA,NA,NA,NA,NA,NA,NA,NA
59,True,4,What is your experience with openly sharing educational resources that you developed?,I don’t know/prefer not to answer,NA,NA,NA,NA,NA,NA,NA,NA
59,True,4,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,I do not share any of these concerns,NA,NA,NA,NA,NA,NA,NA,NA
59,True,5,"In your opinion, how important is to have an open dialogue with society in your work?",Extremely important,NA,NA,NA,NA,NA,NA,NA,NA
59,True,5,What is your experience engaging with society?,I regularly engage with society,NA,NA,NA,NA,NA,NA,NA,NA
59,True,5,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources","It might be difficult to manage expectations of some societal actors (e.g., citizens, politicians)",NA,NA,NA,NA,NA,NA,NA
59,True,6,Do you expect EUR to support you in learning open science practices?,Yes,NA,NA,NA,NA,NA,NA,NA,NA
59,True,6,Which of the following open science practices would you like EUR to provide information or support for?,Preregistration,NA,NA,NA,NA,NA,NA,NA,NA
59,True,6,What support services provided at EUR have you used to make your data FAIR?,"I am using available tools for FAIR data (e.g., EUR Data Repository)",NA,NA,NA,NA,NA,NA,NA,NA
59,True,7,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,Yes,NA,NA,NA,NA,NA,NA,NA,NA
59,True,7,In what way were you recognized and rewarded?,Praised by my colleagues/supervisor/manager,NA,NA,NA,NA,NA,NA,NA,NA
59,True,7,In what way do you expect to be recognized and rewarded?,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,True,8,Is there anything else you would like to mention about Open Science practices?,Training training training: crucial,NA,NA,NA,NA,NA,NA,NA,NA
60,True,0,School,Erasmus School of Social and Behavioural Sciences (ESSB),NA,NA,NA,NA,NA,NA,NA,NA
60,True,0,Department,Pedagogical Sciences,NA,NA,NA,NA,NA,NA,NA,NA
60,True,0,Position,PhD candidate,NA,NA,NA,NA,NA,NA,NA,NA
60,True,1,"In your opinion, how important is Open Access for your work?",Extremely important,NA,NA,NA,NA,NA,NA,NA,NA
60,True,1,What is your experience with Open Access?,I have some experience with Open Access publishing,NA,NA,NA,NA,NA,NA,NA,NA
60,True,1,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Non-peer-reviewed findings might add noise to the literature,Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals,NA,NA,NA,NA,NA,NA,NA
60,True,1,Is there anything you want to share with us regarding your experiences with Open Access?,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,True,2,"In your opinion, how important are open data, materials, and/or code for your work?",Moderately important,NA,NA,NA,NA,NA,NA,NA,NA
60,True,2,"What is your experience with using open data, materials, and/or code developed by others?","I have some experience with open data, materials, and/or code developed by others, but do not use them regularly",NA,NA,NA,NA,NA,NA,NA,NA
60,True,2,"What is your experience with openly sharing data, materials, and/or code that you developed?","I regularly share open data, materials, and/or code",NA,NA,NA,NA,NA,NA,NA,NA
60,True,2,Are you familiar with the FAIR principles for data and code?,"Until now, I hadn't heard of the FAIR principles",NA,NA,NA,NA,NA,NA,NA,NA
60,True,2,"The following are possible concerns that researchers could have about making data, materials, and/or code developed by them openly available. Which of these concerns would you agree with?","Others might criticise my data, materials, and/or code",Others might find errors in my published work,"I might not receive appropriate credit for data, materials, and/or code if I make them openly available",NA,NA,NA,NA,NA,NA
60,True,3,"In your opinion, how important is preregistration for your work?",Extremely important,NA,NA,NA,NA,NA,NA,NA,NA
60,True,3,What is your experience with study preregistration?,I regularly preregister my studies,NA,NA,NA,NA,NA,NA,NA,NA
60,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,I do not share any of these concerns,Other_There is really 0 reason to not preregister.,NA,NA,NA,NA,NA,NA,NA
60,True,4,"In your opinion, how important are open educational resources for your work?",Moderately important,NA,NA,NA,NA,NA,NA,NA,NA
60,True,4,What is your experience with using open educational resources developed by others?,"I have some experience with open educational resources developed by others, but do not use them regularly",NA,NA,NA,NA,NA,NA,NA,NA
60,True,4,What is your experience with openly sharing educational resources that you developed?,"I am aware of open educational resources, but have not shared my own",NA,NA,NA,NA,NA,NA,NA,NA
60,True,4,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,Others might criticise my educational resources,Others might find errors in my educational resources,Others might find it difficult to understand my educational resources,I might lose control over how my educational resources are being used,I might not receive appropriate credit for my educational resources if I make them openly available,There could be issues related to intellectual property,"It might take too much time, effort, and resources",NA,NA
60,True,5,"In your opinion, how important is to have an open dialogue with society in your work?",Extremely important,NA,NA,NA,NA,NA,NA,NA,NA
60,True,5,What is your experience engaging with society?,I regularly engage with society,NA,NA,NA,NA,NA,NA,NA,NA
60,True,5,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources","It might be difficult to manage expectations of some societal actors (e.g., citizens, politicians)",NA,NA,NA,NA,NA,NA,NA
60,True,6,Do you expect EUR to support you in learning open science practices?,No,NA,NA,NA,NA,NA,NA,NA,NA
60,True,6,Which of the following open science practices would you like EUR to provide information or support for?,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,True,6,What support services provided at EUR have you used to make your data FAIR?,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,True,7,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,NA,NA,NA,NA,NA,NA,NA,NA
60,True,7,In what way were you recognized and rewarded?,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,True,7,In what way do you expect to be recognized and rewarded?,Freedom to choose and initiate my own projects,Trust from my colleagues/supervisor/manager,Praise by my colleagues/supervisor/manager,Other_Maybe it's more that employees are generally not interested in it.,NA,NA,NA,NA,NA
60,True,8,Is there anything else you would like to mention about Open Science practices?,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,True,0,School,Erasmus School of Social and Behavioural Sciences (ESSB),NA,NA,NA,NA,NA,NA,NA,NA
61,True,0,Department,Public Administration,Sociology,NA,NA,NA,NA,NA,NA,NA
61,True,0,Position,Other_Support,NA,NA,NA,NA,NA,NA,NA,NA
61,True,1,"In your opinion, how important is Open Access for your work?",Very important,NA,NA,NA,NA,NA,NA,NA,NA
61,True,1,What is your experience with Open Access?,"Until now, I was unaware of Open Access publishing",NA,NA,NA,NA,NA,NA,NA,NA
61,True,1,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,"Other_For me the most important issue is where to find publications. And if this place/website is clear that publications can be ""googeld"" easily.",NA,NA,NA,NA,NA,NA,NA,NA
61,True,1,Is there anything you want to share with us regarding your experiences with Open Access?,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,True,2,"In your opinion, how important are open data, materials, and/or code for your work?",Very important,NA,NA,NA,NA,NA,NA,NA,NA
61,True,2,"What is your experience with using open data, materials, and/or code developed by others?","I regularly use open data, materials, and/or code developed by others",NA,NA,NA,NA,NA,NA,NA,NA
61,True,2,"What is your experience with openly sharing data, materials, and/or code that you developed?","I regularly share open data, materials, and/or code",NA,NA,NA,NA,NA,NA,NA,NA
61,True,2,Are you familiar with the FAIR principles for data and code?,"Until now, I hadn't heard of the FAIR principles",NA,NA,NA,NA,NA,NA,NA,NA
61,True,2,"The following are possible concerns that researchers could have about making data, materials, and/or code developed by them openly available. Which of these concerns would you agree with?",I do not share any of these concerns,NA,NA,NA,NA,NA,NA,NA,NA
61,True,3,"In your opinion, how important is preregistration for your work?",I don’t know/prefer not to answer,NA,NA,NA,NA,NA,NA,NA,NA
61,True,3,What is your experience with study preregistration?,I don’t know/prefer not to answer,NA,NA,NA,NA,NA,NA,NA,NA
61,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,I don’t know/prefer not to answer,NA,NA,NA,NA,NA,NA,NA,NA
61,True,4,"In your opinion, how important are open educational resources for your work?",Very important,NA,NA,NA,NA,NA,NA,NA,NA
61,True,4,What is your experience with using open educational resources developed by others?,I regularly use open educational resources developed by others,NA,NA,NA,NA,NA,NA,NA,NA
61,True,4,What is your experience with openly sharing educational resources that you developed?,I regularly share open educational resources,NA,NA,NA,NA,NA,NA,NA,NA
61,True,4,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,I do not share any of these concerns,NA,NA,NA,NA,NA,NA,NA,NA
61,True,5,"In your opinion, how important is to have an open dialogue with society in your work?",Moderately important,NA,NA,NA,NA,NA,NA,NA,NA
61,True,5,What is your experience engaging with society?,I regularly engage with society,NA,NA,NA,NA,NA,NA,NA,NA
61,True,5,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I do not share any of these concerns,NA,NA,NA,NA,NA,NA,NA,NA
61,True,6,Do you expect EUR to support you in learning open science practices?,Yes,NA,NA,NA,NA,NA,NA,NA,NA
61,True,6,Which of the following open science practices would you like EUR to provide information or support for?,Open access publishing,"Open data, materials, and/or code",Open educational resources,Open engagement of societal actors,NA,NA,NA,NA,NA
61,True,6,What support services provided at EUR have you used to make your data FAIR?,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,True,7,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,NA,NA,NA,NA,NA,NA,NA,NA
61,True,7,In what way were you recognized and rewarded?,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,True,7,In what way do you expect to be recognized and rewarded?,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,True,8,Is there anything else you would like to mention about Open Science practices?,In the survey it unclear whether the open science is for reseachers who publsh themselves or also for professionals like me to consult for relevant data/information for the best support,NA,NA,NA,NA,NA,NA,NA,NA
62,True,0,School,Erasmus School of Social and Behavioural Sciences (ESSB),NA,NA,NA,NA,NA,NA,NA,NA
62,True,0,Department,Public Administration,NA,NA,NA,NA,NA,NA,NA,NA
62,True,0,Position,Assistant Professor,NA,NA,NA,NA,NA,NA,NA,NA
62,True,1,"In your opinion, how important is Open Access for your work?",Very important,NA,NA,NA,NA,NA,NA,NA,NA
62,True,1,What is your experience with Open Access?,I have extensive experience with Open Access publishing,NA,NA,NA,NA,NA,NA,NA,NA
62,True,1,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Other people might copy my research and publish it before I do,Gold OA: Open Access journals might have lower quality articles,NA,NA,NA,NA,NA,NA,NA
62,True,1,Is there anything you want to share with us regarding your experiences with Open Access?,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,True,2,"In your opinion, how important are open data, materials, and/or code for your work?",Very important,NA,NA,NA,NA,NA,NA,NA,NA
62,True,2,"What is your experience with using open data, materials, and/or code developed by others?","I have some experience with open data, materials, and/or code developed by others, but do not use them regularly",NA,NA,NA,NA,NA,NA,NA,NA
62,True,2,"What is your experience with openly sharing data, materials, and/or code that you developed?","I regularly share open data, materials, and/or code",NA,NA,NA,NA,NA,NA,NA,NA
62,True,2,Are you familiar with the FAIR principles for data and code?,"I have some experience with the FAIR principles, but do not follow them regularly",NA,NA,NA,NA,NA,NA,NA,NA
62,True,2,"The following are possible concerns that researchers could have about making data, materials, and/or code developed by them openly available. Which of these concerns would you agree with?","It might take too much time, effort, and resources",Other_low university incentives for researchers. I only do it because it is the moral thing to do. Career wise there is little to gain here.,NA,NA,NA,NA,NA,NA,NA
62,True,3,"In your opinion, how important is preregistration for your work?",Extremely important,NA,NA,NA,NA,NA,NA,NA,NA
62,True,3,What is your experience with study preregistration?,I regularly preregister my studies,NA,NA,NA,NA,NA,NA,NA,NA
62,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,Preregistration might lead to other people taking my research idea and implementing my plan,NA,NA,NA,NA,NA,NA,NA,NA
62,True,4,"In your opinion, how important are open educational resources for your work?",I don’t know/prefer not to answer,NA,NA,NA,NA,NA,NA,NA,NA
62,True,4,What is your experience with using open educational resources developed by others?,"I have some experience with open educational resources developed by others, but do not use them regularly",NA,NA,NA,NA,NA,NA,NA,NA
62,True,4,What is your experience with openly sharing educational resources that you developed?,"Until now, I hadn't heard of open educational resources",NA,NA,NA,NA,NA,NA,NA,NA
62,True,4,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,I don’t know/prefer not to answer,NA,NA,NA,NA,NA,NA,NA,NA
62,True,5,"In your opinion, how important is to have an open dialogue with society in your work?",Slightly important,NA,NA,NA,NA,NA,NA,NA,NA
62,True,5,What is your experience engaging with society?,I don’t know/prefer not to answer,NA,NA,NA,NA,NA,NA,NA,NA
62,True,5,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,Some societal actors might have ideas that are too difficult to implement,NA,NA,NA,NA,NA,NA,NA,NA
62,True,6,Do you expect EUR to support you in learning open science practices?,No,NA,NA,NA,NA,NA,NA,NA,NA
62,True,6,Which of the following open science practices would you like EUR to provide information or support for?,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,True,6,What support services provided at EUR have you used to make your data FAIR?,I don't know/prefer not to answer,NA,NA,NA,NA,NA,NA,NA,NA
62,True,7,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,NA,NA,NA,NA,NA,NA,NA,NA
62,True,7,In what way were you recognized and rewarded?,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,True,7,In what way do you expect to be recognized and rewarded?,Other_should be 'counted' just like articles. Especially given that data gets its own DOI,NA,NA,NA,NA,NA,NA,NA,NA
62,True,8,Is there anything else you would like to mention about Open Science practices?,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,True,0,School,Erasmus School of Social and Behavioural Sciences (ESSB),NA,NA,NA,NA,NA,NA,NA,NA
63,True,0,Department,Psychology,NA,NA,NA,NA,NA,NA,NA,NA
63,True,0,Position,Assistant Professor,NA,NA,NA,NA,NA,NA,NA,NA
63,True,1,"In your opinion, how important is Open Access for your work?",Extremely important,NA,NA,NA,NA,NA,NA,NA,NA
63,True,1,What is your experience with Open Access?,I have some experience with Open Access publishing,NA,NA,NA,NA,NA,NA,NA,NA
63,True,1,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,Green OA (self-archiving): Non-peer-reviewed findings might add noise to the literature,Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals,NA,NA,NA,NA,NA,NA
63,True,1,Is there anything you want to share with us regarding your experiences with Open Access?,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,True,2,"In your opinion, how important are open data, materials, and/or code for your work?",Extremely important,NA,NA,NA,NA,NA,NA,NA,NA
63,True,2,"What is your experience with using open data, materials, and/or code developed by others?","I am aware of open data, materials, and/or code developed by others, but have not used them",NA,NA,NA,NA,NA,NA,NA,NA
63,True,2,"What is your experience with openly sharing data, materials, and/or code that you developed?","I have some experience with open data, materials, and/or code, but do not share mine regularly",NA,NA,NA,NA,NA,NA,NA,NA
63,True,2,Are you familiar with the FAIR principles for data and code?,"I have some experience with the FAIR principles, but do not follow them regularly",NA,NA,NA,NA,NA,NA,NA,NA
63,True,2,"The following are possible concerns that researchers could have about making data, materials, and/or code developed by them openly available. Which of these concerns would you agree with?",There could be issues related to intellectual property,NA,NA,NA,NA,NA,NA,NA,NA
63,True,3,"In your opinion, how important is preregistration for your work?",Extremely important,NA,NA,NA,NA,NA,NA,NA,NA
63,True,3,What is your experience with study preregistration?,"I have some experience with study preregistration, but do not use it regularly",NA,NA,NA,NA,NA,NA,NA,NA
63,True,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,"It might take too much time, effort, and resources",NA,NA,NA,NA,NA,NA,NA,NA
63,True,4,"In your opinion, how important are open educational resources for your work?",Moderately important,NA,NA,NA,NA,NA,NA,NA,NA
63,True,4,What is your experience with using open educational resources developed by others?,"Until now, I hadn't heard of open educational resources",NA,NA,NA,NA,NA,NA,NA,NA
63,True,4,What is your experience with openly sharing educational resources that you developed?,"Until now, I hadn't heard of open educational resources",NA,NA,NA,NA,NA,NA,NA,NA
63,True,4,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,Sharing educational resources could result in others asking me to provide assistance for their courses/workshops,I might not receive appropriate credit for my educational resources if I make them openly available,"It might take too much time, effort, and resources",NA,NA,NA,NA,NA,NA
63,True,5,"In your opinion, how important is to have an open dialogue with society in your work?",Very important,NA,NA,NA,NA,NA,NA,NA,NA
63,True,5,What is your experience engaging with society?,"I am aware of engaging with society, but have not done it",NA,NA,NA,NA,NA,NA,NA,NA
63,True,5,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",Designing the research might become too complex,Some societal actors might have ideas that are too difficult to implement,"It might be difficult to manage expectations of some societal actors (e.g., citizens, politicians)",I might lose control of my research project,NA,NA,NA,NA
63,True,6,Do you expect EUR to support you in learning open science practices?,Yes,NA,NA,NA,NA,NA,NA,NA,NA
63,True,6,Which of the following open science practices would you like EUR to provide information or support for?,Open access publishing,Open educational resources,Open engagement of societal actors,NA,NA,NA,NA,NA,NA
63,True,6,What support services provided at EUR have you used to make your data FAIR?,I looked up relevant information on the EUR website,"I got advice on FAIR data/research data management from an expert (e.g., research data steward)",NA,NA,NA,NA,NA,NA,NA
63,True,7,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,NA,NA,NA,NA,NA,NA,NA,NA
63,True,7,In what way were you recognized and rewarded?,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,True,7,In what way do you expect to be recognized and rewarded?,More time for Open Science activities,NA,NA,NA,NA,NA,NA,NA,NA
63,True,8,Is there anything else you would like to mention about Open Science practices?,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,True,0,School,Erasmus School of Social and Behavioural Sciences (ESSB),NA,NA,NA,NA,NA,NA,NA,NA
64,True,0,Department,Pedagogical Sciences,NA,NA,NA,NA,NA,NA,NA,NA
64,True,0,Position,Postdoc or researcher,NA,NA,NA,NA,NA,NA,NA,NA
