School,Position,question,response,n
ISS,Full Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,2
ISS,Full Professor,What is your experience with Open Access?,I have extensive experience with Open Access publishing,3
ISS,Full Professor,What is your experience with Open Access?,I have some experience with Open Access publishing,3
ISS,Other,"In your opinion, how important is Open Access for your work?",Slightly important,1
ISS,Other,Is there anything you want to share with us regarding your experiences with Open Access?,NA,1
ISS,Other,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,I don’t know/prefer not to answer,1
ISS,Other,What is your experience with Open Access?,I don’t know/prefer not to answer,1
ISS,PhD candidate,"In your opinion, how important is Open Access for your work?",Extremely important,2
ISS,PhD candidate,"In your opinion, how important is Open Access for your work?",Moderately important,1
ISS,PhD candidate,"In your opinion, how important is Open Access for your work?",Very important,2
ISS,PhD candidate,Is there anything you want to share with us regarding your experiences with Open Access?,NA,5
ISS,PhD candidate,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals,1
ISS,PhD candidate,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Making my work available pre-publication might reduce the number of citations to the ultimately published work,1
ISS,PhD candidate,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,3
ISS,PhD candidate,What is your experience with Open Access?,I am aware of Open Access publishing but have not done it,2
ISS,PhD candidate,What is your experience with Open Access?,I have some experience with Open Access publishing,3
Other,Other,"In your opinion, how important is Open Access for your work?",Extremely important,2
Other,Other,Is there anything you want to share with us regarding your experiences with Open Access?,NA,2
Other,Other,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Non-peer-reviewed findings might add noise to the literature,1
Other,Other,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,1
Other,Other,What is your experience with Open Access?,I am aware of Open Access publishing but have not done it,1
Other,Other,What is your experience with Open Access?,I have extensive experience with Open Access publishing,1
Other,Lecturer,"In your opinion, how important is Open Access for your work?",Extremely important,1
Other,Lecturer,Is there anything you want to share with us regarding your experiences with Open Access?,NA,1
Other,Lecturer,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals,1
Other,Lecturer,What is your experience with Open Access?,I have some experience with Open Access publishing,1
Other,PhD candidate,"In your opinion, how important is Open Access for your work?",Moderately important,1
Other,PhD candidate,Is there anything you want to share with us regarding your experiences with Open Access?,NA,1
Other,PhD candidate,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,1
Other,PhD candidate,What is your experience with Open Access?,I am aware of Open Access publishing but have not done it,1
